log.prior	log.likelihood	log.likelihood.test.set
-1.805321202149642340e+04 -1.012549975664167505e+04 -1.114582322110750283e+03
-1.806519545123074568e+04 -1.013513150980077990e+04 -1.126620927206600300e+03
-1.806597125541326022e+04 -1.013436753951113860e+04 -1.118589582555234301e+03
-1.808619222131944116e+04 -1.012104114846390803e+04 -1.120647078191629134e+03
-1.805422314336462659e+04 -1.013158353076918320e+04 -1.122877117952288700e+03
-1.806682039609034473e+04 -1.014474106811940328e+04 -1.119404154038098113e+03
-1.801625514708306582e+04 -1.014333429212239389e+04 -1.119888601789102722e+03
-1.801774453092847034e+04 -1.013375513575175501e+04 -1.118786521840853766e+03
-1.802275728960275592e+04 -1.013536377444994105e+04 -1.109665332173214210e+03
-1.804111380354612993e+04 -1.013780636661688004e+04 -1.115788580095478210e+03
-1.804326535316841182e+04 -1.015212920722662784e+04 -1.114579760384306155e+03
-1.804741094327249812e+04 -1.014711195093896276e+04 -1.125282237764194633e+03
-1.806941561934308629e+04 -1.014541144973430528e+04 -1.118963936726132943e+03
-1.808913343277873719e+04 -1.014032967960489623e+04 -1.117910388308032907e+03
-1.808383166365874422e+04 -1.014325848249237970e+04 -1.118956524536587949e+03
-1.806502037669173296e+04 -1.013961640519521097e+04 -1.118407230744543540e+03
-1.802161883380785730e+04 -1.013835440240130993e+04 -1.116811469859466797e+03
-1.801695602717069414e+04 -1.014021481262134148e+04 -1.116125146468717503e+03
-1.799967436243047996e+04 -1.014269951898510953e+04 -1.113948824153183068e+03
-1.799586354714933259e+04 -1.014737702353335771e+04 -1.114958477049271551e+03
-1.799674450222125597e+04 -1.015611318741622017e+04 -1.117222680348738777e+03
-1.801149069442704422e+04 -1.013995347639295323e+04 -1.109345778101379437e+03
-1.799389487141779318e+04 -1.014407042928555347e+04 -1.107482217179245708e+03
-1.796147724445955828e+04 -1.014073243114623983e+04 -1.110373495203370112e+03
-1.797690988912236571e+04 -1.014186343847380158e+04 -1.109462438936029230e+03
-1.799756847423508225e+04 -1.013771027065153976e+04 -1.106545689081101955e+03
-1.798993518517304619e+04 -1.013560401539206032e+04 -1.111363102265763246e+03
-1.796978913731419016e+04 -1.014313017779807888e+04 -1.122008842071249546e+03
-1.795853549966400533e+04 -1.014263307089302543e+04 -1.129294038104939773e+03
-1.797963075109133206e+04 -1.013636708966399055e+04 -1.118483278871350649e+03
-1.797854661184791621e+04 -1.014611015554253208e+04 -1.131860633843673895e+03
-1.794833631924941437e+04 -1.014043465012569504e+04 -1.125781600233793597e+03
-1.792347573730424847e+04 -1.014858977577689438e+04 -1.129668925249997301e+03
-1.789687962087224150e+04 -1.016002317119186046e+04 -1.126296870138362920e+03
-1.791624986570647889e+04 -1.014748741659811094e+04 -1.126105497140338684e+03
-1.789611857845177656e+04 -1.014389644636395860e+04 -1.123756390677384388e+03
-1.788621648284598268e+04 -1.015848522482955195e+04 -1.122134012806591727e+03
-1.789550980357790468e+04 -1.014856783576934686e+04 -1.122456999059088503e+03
-1.788363206753241684e+04 -1.015097979396545270e+04 -1.119748761371551609e+03
-1.787019126802087703e+04 -1.014375464377860226e+04 -1.115582116932804638e+03
-1.785253876791758012e+04 -1.014605189421037358e+04 -1.121345039238080972e+03
-1.784278656835981019e+04 -1.015097110688289104e+04 -1.124594312624224585e+03
-1.783511032966852508e+04 -1.014275812798287188e+04 -1.115964692182195904e+03
-1.783285088443299901e+04 -1.014264727221236535e+04 -1.113533076275056374e+03
-1.785835051883107735e+04 -1.013169963766074579e+04 -1.115634550749210575e+03
-1.785172042644301109e+04 -1.013988679965683878e+04 -1.114352728737242614e+03
-1.781866207407001639e+04 -1.015091923659367967e+04 -1.115640997731821244e+03
-1.783364896826021140e+04 -1.015335540319379652e+04 -1.116495526057707593e+03
-1.782677410188503200e+04 -1.014326269377081007e+04 -1.116868950945963206e+03
-1.782215673107678231e+04 -1.014151209681772525e+04 -1.116563967036184295e+03
-1.783229130874883776e+04 -1.013365403169525416e+04 -1.117681190361820427e+03
-1.783569605429933654e+04 -1.013644224951911201e+04 -1.116660121615312164e+03
-1.783032950712139427e+04 -1.013274214481958734e+04 -1.114323429490071248e+03
-1.783731340006395112e+04 -1.014282579500311112e+04 -1.114210293492410528e+03
-1.785061322254964762e+04 -1.013321041967811470e+04 -1.117130597036861673e+03
-1.788325077665998833e+04 -1.012823979584152039e+04 -1.115417347151071681e+03
-1.787662546997484969e+04 -1.012741394466492056e+04 -1.109968957886236694e+03
-1.785755711922892806e+04 -1.013999118762535727e+04 -1.109403024560443100e+03
-1.783952710985542217e+04 -1.015412537854824404e+04 -1.125793202274648593e+03
-1.786769178476696834e+04 -1.014594605677432628e+04 -1.115200092797814705e+03
-1.787246360671026923e+04 -1.013928377133486902e+04 -1.114749182859003213e+03
-1.787279215129973454e+04 -1.013750583971850756e+04 -1.116764648321785899e+03
-1.789103022366777441e+04 -1.013248176112837427e+04 -1.120854483856941442e+03
-1.787874719222629574e+04 -1.013236605129887175e+04 -1.119397510239678468e+03
-1.789218165768517792e+04 -1.014274177832901296e+04 -1.119929349408367216e+03
-1.788523518826108193e+04 -1.013686700201460553e+04 -1.113862859843296974e+03
-1.787814703772153371e+04 -1.014944139149417970e+04 -1.126054132775619109e+03
-1.787220174173359192e+04 -1.014088016977119332e+04 -1.119252934422503131e+03
-1.787025616657702994e+04 -1.013375223400350660e+04 -1.123060808973243184e+03
-1.784538177364137300e+04 -1.013312365869363748e+04 -1.122630955776271549e+03
-1.788049393813110146e+04 -1.014178485792531501e+04 -1.118511080853799740e+03
-1.789410501196183395e+04 -1.013036183447262738e+04 -1.115655374681583453e+03
-1.786532829492892415e+04 -1.014346015690013519e+04 -1.120913534068085937e+03
-1.787041797586627581e+04 -1.013551775657737198e+04 -1.123700728133429038e+03
-1.787066955248845625e+04 -1.014368274701784867e+04 -1.126346779672941011e+03
-1.789874423169999864e+04 -1.013556443965081417e+04 -1.120887175022004612e+03
-1.792983377865664079e+04 -1.014044774065960155e+04 -1.119189987871662652e+03
-1.793170678277013212e+04 -1.013965243431871750e+04 -1.121764691801276058e+03
-1.797870722790278887e+04 -1.012736835789848556e+04 -1.116621929924845062e+03
-1.795630213629413629e+04 -1.012231824378808960e+04 -1.112243857546143317e+03
-1.793098315196594558e+04 -1.012148425239931385e+04 -1.127590943790658912e+03
-1.793553506546953940e+04 -1.011758757966803569e+04 -1.127117946648543693e+03
-1.793731553830935081e+04 -1.012719978158076992e+04 -1.120630525761288936e+03
-1.789202271153804031e+04 -1.012786426416310496e+04 -1.121541724631490979e+03
-1.786945641850860557e+04 -1.012091827773368641e+04 -1.128046044429427639e+03
-1.785878904536592017e+04 -1.012725147407973782e+04 -1.125116413242161798e+03
-1.788405974653844532e+04 -1.012499395884536352e+04 -1.122809389782766175e+03
-1.787038613220614207e+04 -1.011497268851975241e+04 -1.122458200255920929e+03
-1.789157624414690872e+04 -1.011828315801944518e+04 -1.125730964839255648e+03
-1.788608513350386056e+04 -1.011650139590034632e+04 -1.120546399558239045e+03
-1.791037457275259294e+04 -1.012205435665663390e+04 -1.123533300877863439e+03
-1.793899680952914059e+04 -1.012490077919861506e+04 -1.119459157336722910e+03
-1.793602656343829585e+04 -1.011866851608760771e+04 -1.117386199879351352e+03
-1.791189745542268065e+04 -1.013278634232371405e+04 -1.118196829655165857e+03
-1.788512390692756890e+04 -1.013795396498087757e+04 -1.121037616327528667e+03
-1.790550970385679830e+04 -1.012421223530131829e+04 -1.113062640813417147e+03
-1.790602689017988814e+04 -1.013593524322635858e+04 -1.114049221632943954e+03
-1.789514955742228994e+04 -1.014283025363616616e+04 -1.122866313464638097e+03
-1.790586135608553013e+04 -1.013531639418422128e+04 -1.134954607940558162e+03
-1.789195752166477541e+04 -1.012870191581655126e+04 -1.132484844876126772e+03
-1.792195341143659971e+04 -1.012572847571355669e+04 -1.127150730359573572e+03
-1.791360979019228034e+04 -1.013456420512446493e+04 -1.131590509979546368e+03
-1.791371828502911376e+04 -1.012871452976108048e+04 -1.134553481769667087e+03
-1.791450672726074481e+04 -1.013084593346825386e+04 -1.129270353829774194e+03
-1.788916396723241269e+04 -1.012731880210709096e+04 -1.128580554328470953e+03
-1.785857768388627301e+04 -1.012743279640271248e+04 -1.120030281304082109e+03
-1.782335107267900457e+04 -1.013760038863767477e+04 -1.123743943544111517e+03
-1.782013387726531437e+04 -1.013326361905322665e+04 -1.120300985311193017e+03
-1.779227171004384218e+04 -1.013142354346330285e+04 -1.119872212241980833e+03
-1.779732833860545361e+04 -1.012743482236532509e+04 -1.115674220053418594e+03
-1.780053098133789172e+04 -1.013433001298431918e+04 -1.112594792328918174e+03
-1.777669667647695678e+04 -1.014971093649354407e+04 -1.119697581773742513e+03
-1.777561473038536496e+04 -1.014875775475235059e+04 -1.117008125196869059e+03
-1.777144664603877754e+04 -1.015240027642047062e+04 -1.122508381792258660e+03
-1.779855637039365320e+04 -1.013844517753879154e+04 -1.119773559673966247e+03
-1.780738490453283521e+04 -1.013331914970905927e+04 -1.108673437012957493e+03
-1.777307540383927335e+04 -1.014070643277770614e+04 -1.115284756340193326e+03
-1.775481088761988212e+04 -1.013059606778083071e+04 -1.111871318203135615e+03
-1.775614563222678044e+04 -1.014266259868451380e+04 -1.111347870592898289e+03
-1.777011353249511012e+04 -1.014655130694579020e+04 -1.113680917606949151e+03
-1.777102840482761530e+04 -1.015707363941603398e+04 -1.126997112801148887e+03
-1.781322539589697044e+04 -1.014416904068314943e+04 -1.108938576184208159e+03
-1.780289265276877268e+04 -1.015080924853278339e+04 -1.117911076897449220e+03
-1.784135499517579228e+04 -1.015133435797203492e+04 -1.111530054514930725e+03
-1.783085968995384610e+04 -1.014403796439054349e+04 -1.123654240527179809e+03
-1.781427813899564353e+04 -1.014382474625625036e+04 -1.126092249186737718e+03
-1.783300531167585359e+04 -1.014202359448643983e+04 -1.112473360513205080e+03
-1.784022833118214839e+04 -1.013742812332576977e+04 -1.114748465624038545e+03
-1.784635046728284215e+04 -1.013663282681761302e+04 -1.121431579183476515e+03
-1.786226996222367961e+04 -1.013861844584258506e+04 -1.119762522923266715e+03
-1.785176594861216290e+04 -1.014500787638532347e+04 -1.126362661487197784e+03
-1.786212884447348551e+04 -1.013875341328119612e+04 -1.124692467727067196e+03
-1.786452314128015132e+04 -1.014120228128271629e+04 -1.124937088601802316e+03
-1.785431360467893319e+04 -1.013714411112971902e+04 -1.121692082361016219e+03
-1.786833669301257032e+04 -1.014059763757159453e+04 -1.114712262128477505e+03
