sender	time
5 0.48
2 1.19
9 1.46
2 1.82
1 2.18
5 3.11
5 3.80
7 4.19
2 4.54
3 5.21
5 5.62
1 6.04
3 6.60
6 7.02
8 7.33
5 7.75
7 8.41
2 8.73
6 9.07
8 9.33
3 9.70
1 10.50
6 11.09
8 11.40
2 11.83
8 12.24
6 13.17
4 13.62
6 14.20
3 14.58
6 14.96
4 15.33
4 15.98
1 16.99
4 17.34
7 18.05
1 18.71
4 19.84
1 21.52
4 21.83
2 22.26
4 22.46
7 22.80
3 23.25
7 23.58
6 24.00
5 24.33
10 24.65
2 26.35
6 26.74
9 27.38
4 28.49
7 28.80
2 29.41
1 30.44
6 30.77
4 31.58
2 31.81
3 32.93
8 33.89
4 34.89
3 35.27
1 35.67
7 35.94
9 36.99
8 37.47
8 38.11
5 38.39
2 39.11
7 39.44
4 39.79
2 40.07
1 40.42
3 40.84
10 41.14
5 41.52
4 42.28
7 43.29
6 44.00
1 44.36
6 44.59
5 45.41
6 45.99
5 46.43
4 46.68
9 47.05
4 48.01
2 48.40
7 49.54
4 50.20
3 50.93
4 51.18
6 51.55
1 52.23
9 52.62
5 53.54
6 54.35
2 55.05
3 55.30
1 55.77
7 56.76
1 57.47
3 57.74
2 58.85
5 59.49
3 59.79
4 61.50
4 62.98
2 63.62
9 63.97
2 65.00
1 65.77
3 65.97
3 66.76
3 67.43
5 67.76
1 68.46
8 68.88
5 69.23
8 69.92
7 70.59
9 70.82
10 71.94
6 72.32
1 74.26
10 75.66
7 76.06
8 76.71
9 77.07
4 78.10
3 78.54
5 78.79
8 79.11
3 80.22
5 80.86
1 81.59
6 81.93
4 82.67
2 83.69
3 83.96
7 84.39
9 85.41
4 86.43
9 87.09
6 87.40
7 87.74
3 88.22
9 88.76
10 89.20
2 89.53
7 89.90
8 90.57
8 91.23
10 91.52
9 91.98
5 92.97
10 93.62
5 94.34
6 95.14
7 95.45
5 96.14
1 96.47
3 97.52
5 98.13
1 98.56
4 98.81
9 99.87
