,Karen,Scott,Jessica,write a review,A verified traveler,Kevin,William,R,S,Christopher,Contributor,Chris,Patricia,Lisa,Mike,John,Nancy,H,Jason,Stephen,Anonymous,Jeffrey,Jennifer,Linda,Richard,James,Charles,Robert,Paul,George,Barbara,Steve,Eric,Mark,Mary,C,Daniel,Donald,David,Thomas,Susan,A Traveler,M,Not Provided,B,Laura,xxxxxxxxxxxxxx,Michael,Joseph
1785 Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Bed & Breakfast In Cambridge,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,,
A Swallow's Nest Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbeville Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adria Motor Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agate Beach Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert's Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyssa's Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambassadors Inn and Suites,,,,,,1.0,,3.0,,,,,2.0,1.0,,2.0,,,,,,,,2.0,3.0,5.0,4.0,2.0,,,4.0,,,,,,,,,,,5.0,3.0,,,,,5.0,
America's Best Value Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Star Inn and Suites Atlantic City,3.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,
Americana Resort Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Americas Best Value Inn,5.0,1.0,1.0,,,,2.0,1.0,,,,,5.0,,1.0,3.0,,,5.0,,,,3.0,,2.0,,4.0,3.0,,,1.0,,2.0,1.0,2.0,,,4.0,1.0,,1.0,3.0,,,,,,1.0,1.0
Americas Best Value Inn - Medical Center/airport,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0,,,,4.0,,5.0,
Americas Best Value Inn and Suites,2.0,,,,,,1.0,,,,,,,,4.0,,,,1.0,,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,4.0,2.0,,4.0,,,,,
Americinn Coralville,3.0,5.0,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,3.0,,,,,,4.0,,4.0,,,,3.0,4.0,,4.0,,1.0,,,,,
Americinn Lodge and Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amerihost Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amisos Hotel,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,3.0,,,,,,2.0,
Anaheim Marriott Suites,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,5.0,,,4.0,,,4.0,
Anglers Inn,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,5.0,,,,5.0,,,4.0,,,,4.0,,,4.0,,,,,,,
Antlers Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arion,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,5.0,,,,5.0,5.0,,5.0,,,,,,,
Arizona Inn of Prescott Valley,,,,,,,,,,,,,2.0,,,3.0,5.0,,,,,,,,4.0,,,5.0,,,,,,2.0,,,4.0,,,,,4.0,2.0,,,,,,
Atlanta Marriott Northwest At Galleria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon Hotel Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azul Beach Hotel By Karisma Gourmet Inclusive,,,,,,,,,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
Bailey Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barber Joyce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Haven Inn Bed Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baymont Inn & Suites Griffin,,3.0,,,,,,,,,,,5.0,,,3.0,,,,,,,,5.0,,5.0,,2.0,,,,,5.0,,,,4.0,,,5.0,,5.0,,,,,,4.0,
Baymont Inn and Suites Boone,,,,,,,,,5.0,,,4.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,4.0,,5.0,,,,,,,2.0
Baymont Inn and Suites Enid,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,4.0,,4.0,,,,,,,,5.0,,3.0,4.0,2.0,,,5.0,,,,,,,
