,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
102902,102903,Twelfth Night,9.0,,PANDARUS,ACT I
102903,102904,Twelfth Night,9.0,,PANDARUS,SCENE I. DUKE ORSINO's palace.
102904,102905,Twelfth Night,9.0,,PANDARUS,"Enter DUKE ORSINO, CURIO, and other Lords, Musicians attending"
102905,102906,Twelfth Night,1.0,1.1.1,DUKE ORSINO,"If music be the food of love, play on,"
102906,102907,Twelfth Night,1.0,1.1.2,DUKE ORSINO,"Give me excess of it, that, surfeiting,"
102907,102908,Twelfth Night,1.0,1.1.3,DUKE ORSINO,"The appetite may sicken, and so die."
102908,102909,Twelfth Night,1.0,1.1.4,DUKE ORSINO,That strain again! it had a dying fall:
102909,102910,Twelfth Night,1.0,1.1.5,DUKE ORSINO,"O, it came o'er my ear like the sweet sound,"
102910,102911,Twelfth Night,1.0,1.1.6,DUKE ORSINO,"That breathes upon a bank of violets,"
102911,102912,Twelfth Night,1.0,1.1.7,DUKE ORSINO,"Stealing and giving odour! Enough, no more:"
102912,102913,Twelfth Night,1.0,1.1.8,DUKE ORSINO,'Tis not so sweet now as it was before.
102913,102914,Twelfth Night,1.0,1.1.9,DUKE ORSINO,"O spirit of love! how quick and fresh art thou,"
102914,102915,Twelfth Night,1.0,1.1.10,DUKE ORSINO,"That, notwithstanding thy capacity"
102915,102916,Twelfth Night,1.0,1.1.11,DUKE ORSINO,"Receiveth as the sea, nought enters there,"
102916,102917,Twelfth Night,1.0,1.1.12,DUKE ORSINO,"Of what validity and pitch soe'er,"
102917,102918,Twelfth Night,1.0,1.1.13,DUKE ORSINO,"But falls into abatement and low price,"
102918,102919,Twelfth Night,1.0,1.1.14,DUKE ORSINO,Even in a minute: so full of shapes is fancy
102919,102920,Twelfth Night,1.0,1.1.15,DUKE ORSINO,That it alone is high fantastical.
102920,102921,Twelfth Night,2.0,1.1.16,CURIO,"Will you go hunt, my lord?"
102921,102922,Twelfth Night,3.0,1.1.17,DUKE ORSINO,"What, Curio?"
102922,102923,Twelfth Night,4.0,1.1.18,CURIO,The hart.
102923,102924,Twelfth Night,5.0,1.1.19,DUKE ORSINO,"Why, so I do, the noblest that I have:"
102924,102925,Twelfth Night,5.0,1.1.20,DUKE ORSINO,"O, when mine eyes did see Olivia first,"
102925,102926,Twelfth Night,5.0,1.1.21,DUKE ORSINO,Methought she purged the air of pestilence!
102926,102927,Twelfth Night,5.0,1.1.22,DUKE ORSINO,"That instant was I turn'd into a hart,"
102927,102928,Twelfth Night,5.0,1.1.23,DUKE ORSINO,"And my desires, like fell and cruel hounds,"
102928,102929,Twelfth Night,5.0,1.1.24,DUKE ORSINO,E'er since pursue me.
102929,102930,Twelfth Night,5.0,,DUKE ORSINO,Enter VALENTINE
102930,102931,Twelfth Night,5.0,1.1.25,DUKE ORSINO,How now! what news from her?
102931,102932,Twelfth Night,6.0,1.1.26,VALENTINE,"So please my lord, I might not be admitted,"
102932,102933,Twelfth Night,6.0,1.1.27,VALENTINE,But from her handmaid do return this answer:
102933,102934,Twelfth Night,6.0,1.1.28,VALENTINE,"The element itself, till seven years' heat,"
102934,102935,Twelfth Night,6.0,1.1.29,VALENTINE,"Shall not behold her face at ample view,"
102935,102936,Twelfth Night,6.0,1.1.30,VALENTINE,"But, like a cloistress, she will veiled walk"
102936,102937,Twelfth Night,6.0,1.1.31,VALENTINE,And water once a day her chamber round
102937,102938,Twelfth Night,6.0,1.1.32,VALENTINE,With eye-offending brine: all this to season
102938,102939,Twelfth Night,6.0,1.1.33,VALENTINE,"A brother's dead love, which she would keep fresh"
102939,102940,Twelfth Night,6.0,1.1.34,VALENTINE,And lasting in her sad remembrance.
102940,102941,Twelfth Night,7.0,1.1.35,DUKE ORSINO,"O, she that hath a heart of that fine frame"
102941,102942,Twelfth Night,7.0,1.1.36,DUKE ORSINO,"To pay this debt of love but to a brother,"
102942,102943,Twelfth Night,7.0,1.1.37,DUKE ORSINO,"How will she love, when the rich golden shaft"
102943,102944,Twelfth Night,7.0,1.1.38,DUKE ORSINO,Hath kill'd the flock of all affections else
102944,102945,Twelfth Night,7.0,1.1.39,DUKE ORSINO,"That live in her, when liver, brain and heart,"
102945,102946,Twelfth Night,7.0,1.1.40,DUKE ORSINO,"These sovereign thrones, are all supplied, and fill'd"
102946,102947,Twelfth Night,7.0,1.1.41,DUKE ORSINO,Her sweet perfections with one self king!
102947,102948,Twelfth Night,7.0,1.1.42,DUKE ORSINO,Away before me to sweet beds of flowers:
102948,102949,Twelfth Night,7.0,1.1.43,DUKE ORSINO,Love-thoughts lie rich when canopied with bowers.
102949,102950,Twelfth Night,7.0,,DUKE ORSINO,Exeunt
102950,102951,Twelfth Night,7.0,,DUKE ORSINO,SCENE II. The sea-coast.
102951,102952,Twelfth Night,7.0,,DUKE ORSINO,"Enter VIOLA, a Captain, and Sailors"
102952,102953,Twelfth Night,1.0,1.2.1,VIOLA,"What country, friends, is this?"
102953,102954,Twelfth Night,2.0,1.2.2,Captain,"This is Illyria, lady."
102954,102955,Twelfth Night,3.0,1.2.3,VIOLA,And what should I do in Illyria?
102955,102956,Twelfth Night,3.0,1.2.4,VIOLA,My brother he is in Elysium.
102956,102957,Twelfth Night,3.0,1.2.5,VIOLA,"Perchance he is not drown'd: what think you, sailors?"
102957,102958,Twelfth Night,4.0,1.2.6,Captain,It is perchance that you yourself were saved.
102958,102959,Twelfth Night,5.0,1.2.7,VIOLA,O my poor brother! and so perchance may he be.
102959,102960,Twelfth Night,6.0,1.2.8,Captain,"True, madam: and, to comfort you with chance,"
102960,102961,Twelfth Night,6.0,1.2.9,Captain,"Assure yourself, after our ship did split,"
102961,102962,Twelfth Night,6.0,1.2.10,Captain,When you and those poor number saved with you
102962,102963,Twelfth Night,6.0,1.2.11,Captain,"Hung on our driving boat, I saw your brother,"
102963,102964,Twelfth Night,6.0,1.2.12,Captain,"Most provident in peril, bind himself,"
102964,102965,Twelfth Night,6.0,1.2.13,Captain,"Courage and hope both teaching him the practise,"
102965,102966,Twelfth Night,6.0,1.2.14,Captain,"To a strong mast that lived upon the sea,"
102966,102967,Twelfth Night,6.0,1.2.15,Captain,"Where, like Arion on the dolphin's back,"
102967,102968,Twelfth Night,6.0,1.2.16,Captain,I saw him hold acquaintance with the waves
102968,102969,Twelfth Night,6.0,1.2.17,Captain,So long as I could see.
102969,102970,Twelfth Night,7.0,1.2.18,VIOLA,"For saying so, there's gold:"
102970,102971,Twelfth Night,7.0,1.2.19,VIOLA,"Mine own escape unfoldeth to my hope,"
102971,102972,Twelfth Night,7.0,1.2.20,VIOLA,"Whereto thy speech serves for authority,"
102972,102973,Twelfth Night,7.0,1.2.21,VIOLA,The like of him. Know'st thou this country?
102973,102974,Twelfth Night,8.0,1.2.22,Captain,"Ay, madam, well, for I was bred and born"
102974,102975,Twelfth Night,8.0,1.2.23,Captain,Not three hours' travel from this very place.
102975,102976,Twelfth Night,9.0,1.2.24,VIOLA,Who governs here?
102976,102977,Twelfth Night,10.0,1.2.25,Captain,"A noble duke, in nature as in name."
102977,102978,Twelfth Night,11.0,1.2.26,VIOLA,What is the name?
102978,102979,Twelfth Night,12.0,1.2.27,Captain,Orsino.
102979,102980,Twelfth Night,13.0,1.2.28,VIOLA,Orsino! I have heard my father name him:
102980,102981,Twelfth Night,13.0,1.2.29,VIOLA,He was a bachelor then.
102981,102982,Twelfth Night,14.0,1.2.30,Captain,"And so is now, or was so very late,"
102982,102983,Twelfth Night,14.0,1.2.31,Captain,"For but a month ago I went from hence,"
102983,102984,Twelfth Night,14.0,1.2.32,Captain,"And then 'twas fresh in murmur,--as, you know,"
102984,102985,Twelfth Night,14.0,1.2.33,Captain,"What great ones do the less will prattle of,--"
102985,102986,Twelfth Night,14.0,1.2.34,Captain,That he did seek the love of fair Olivia.
102986,102987,Twelfth Night,15.0,1.2.35,VIOLA,What's she?
102987,102988,Twelfth Night,16.0,1.2.36,Captain,"A virtuous maid, the daughter of a count"
102988,102989,Twelfth Night,16.0,1.2.37,Captain,"That died some twelvemonth since, then leaving her"
102989,102990,Twelfth Night,16.0,1.2.38,Captain,"In the protection of his son, her brother,"
102990,102991,Twelfth Night,16.0,1.2.39,Captain,"Who shortly also died: for whose dear love,"
102991,102992,Twelfth Night,16.0,1.2.40,Captain,"They say, she hath abjured the company"
102992,102993,Twelfth Night,16.0,1.2.41,Captain,And sight of men.
102993,102994,Twelfth Night,17.0,1.2.42,VIOLA,O that I served that lady
102994,102995,Twelfth Night,17.0,1.2.43,VIOLA,"And might not be delivered to the world,"
102995,102996,Twelfth Night,17.0,1.2.44,VIOLA,"Till I had made mine own occasion mellow,"
102996,102997,Twelfth Night,17.0,1.2.45,VIOLA,What my estate is!
102997,102998,Twelfth Night,18.0,1.2.46,Captain,"That were hard to compass,"
102998,102999,Twelfth Night,18.0,1.2.47,Captain,"Because she will admit no kind of suit,"
102999,103000,Twelfth Night,18.0,1.2.48,Captain,"No, not the duke's."
103000,103001,Twelfth Night,19.0,1.2.49,VIOLA,"There is a fair behavior in thee, captain,"
103001,103002,Twelfth Night,19.0,1.2.50,VIOLA,And though that nature with a beauteous wall
